Logging to savedate/CartPole-v0dqn20010322/
episode_Q_value:11.7    	episode_loss:1.7137848	episode_reward:10      	episodes:91	mean 100 episode reward:22.4    	step_used:10	steps:2022	
episode_Q_value:51.1    	episode_loss:1.1603843	episode_reward:31      	episodes:92	mean 100 episode reward:22.2    	step_used:31	steps:2053	
episode_Q_value:29.8    	episode_loss:0.50183696	episode_reward:17      	episodes:93	mean 100 episode reward:22.3    	step_used:17	steps:2070	
episode_Q_value:41.4    	episode_loss:0.5111718	episode_reward:24      	episodes:94	mean 100 episode reward:22.3    	step_used:24	steps:2094	
episode_Q_value:38.1    	episode_loss:0.4636389	episode_reward:22      	episodes:95	mean 100 episode reward:22.3    	step_used:22	steps:2116	
episode_Q_value:38.4    	episode_loss:0.42016044	episode_reward:22      	episodes:96	mean 100 episode reward:22.3    	step_used:22	steps:2138	
episode_Q_value:41.8    	episode_loss:0.5369618	episode_reward:24      	episodes:97	mean 100 episode reward:22.3    	step_used:24	steps:2162	
episode_Q_value:100     	episode_loss:1.2170733	episode_reward:57      	episodes:98	mean 100 episode reward:22.3    	step_used:57	steps:2219	
episode_Q_value:42      	episode_loss:0.49978963	episode_reward:24      	episodes:99	mean 100 episode reward:22.6    	step_used:24	steps:2243	
episode_Q_value:36.1    	episode_loss:0.48539418	episode_reward:21      	episodes:100	mean 100 episode reward:22.7    	step_used:21	steps:2264	
episode_Q_value:32.8    	episode_loss:0.43483686	episode_reward:19      	episodes:101	mean 100 episode reward:22.6    	step_used:19	steps:2283	
episode_Q_value:20.7    	episode_loss:0.21904445	episode_reward:12      	episodes:102	mean 100 episode reward:22.7    	step_used:12	steps:2295	
episode_Q_value:17.3    	episode_loss:0.2508466	episode_reward:10      	episodes:103	mean 100 episode reward:22.5    	step_used:10	steps:2305	
episode_Q_value:27.2    	episode_loss:0.37159193	episode_reward:16      	episodes:104	mean 100 episode reward:22.5    	step_used:16	steps:2321	
episode_Q_value:20.6    	episode_loss:0.23700689	episode_reward:12      	episodes:105	mean 100 episode reward:22.5    	step_used:12	steps:2333	
episode_Q_value:54.2    	episode_loss:0.62154305	episode_reward:31      	episodes:106	mean 100 episode reward:22.3    	step_used:31	steps:2364	
episode_Q_value:26      	episode_loss:0.32851067	episode_reward:15      	episodes:107	mean 100 episode reward:22.3    	step_used:15	steps:2379	
episode_Q_value:49.4    	episode_loss:0.71416986	episode_reward:29      	episodes:108	mean 100 episode reward:22.3    	step_used:29	steps:2408	
episode_Q_value:36.3    	episode_loss:0.43142673	episode_reward:21      	episodes:109	mean 100 episode reward:22.4    	step_used:21	steps:2429	
episode_Q_value:55.2    	episode_loss:0.7363269	episode_reward:32      	episodes:110	mean 100 episode reward:22.4    	step_used:32	steps:2461	
episode_Q_value:57.6    	episode_loss:0.66694695	episode_reward:34      	episodes:111	mean 100 episode reward:22.6    	step_used:34	steps:2495	
episode_Q_value:15.6    	episode_loss:0.20496036	episode_reward:9       	episodes:112	mean 100 episode reward:22.7    	step_used:9	steps:2504	
episode_Q_value:20.7    	episode_loss:0.23970488	episode_reward:12      	episodes:113	mean 100 episode reward:22.4    	step_used:12	steps:2516	
episode_Q_value:36.4    	episode_loss:0.4184346	episode_reward:21      	episodes:114	mean 100 episode reward:22.4    	step_used:21	steps:2537	
episode_Q_value:19.2    	episode_loss:0.25400552	episode_reward:11      	episodes:115	mean 100 episode reward:22.3    	step_used:11	steps:2548	
episode_Q_value:19      	episode_loss:0.19251405	episode_reward:11      	episodes:116	mean 100 episode reward:22.2    	step_used:11	steps:2559	
episode_Q_value:45.5    	episode_loss:0.48540694	episode_reward:26      	episodes:117	mean 100 episode reward:22.1    	step_used:26	steps:2585	
episode_Q_value:36.4    	episode_loss:0.44852915	episode_reward:21      	episodes:118	mean 100 episode reward:22.2    	step_used:21	steps:2606	
episode_Q_value:27.7    	episode_loss:0.33344853	episode_reward:16      	episodes:119	mean 100 episode reward:22.2    	step_used:16	steps:2622	
episode_Q_value:26      	episode_loss:0.3346883	episode_reward:15      	episodes:120	mean 100 episode reward:22.2    	step_used:15	steps:2637	
episode_Q_value:72.2    	episode_loss:1.0156889	episode_reward:42      	episodes:121	mean 100 episode reward:22.1    	step_used:42	steps:2679	
episode_Q_value:24      	episode_loss:0.31786802	episode_reward:14      	episodes:122	mean 100 episode reward:22.3    	step_used:14	steps:2693	
episode_Q_value:17.3    	episode_loss:0.22247663	episode_reward:10      	episodes:123	mean 100 episode reward:22.3    	step_used:10	steps:2703	
episode_Q_value:27.8    	episode_loss:0.38279626	episode_reward:16      	episodes:124	mean 100 episode reward:21.8    	step_used:16	steps:2719	
episode_Q_value:27.7    	episode_loss:0.35004148	episode_reward:16      	episodes:125	mean 100 episode reward:21.7    	step_used:16	steps:2735	
episode_Q_value:26      	episode_loss:0.35451952	episode_reward:15      	episodes:126	mean 100 episode reward:21.7    	step_used:15	steps:2750	
episode_Q_value:18.9    	episode_loss:0.2218608	episode_reward:11      	episodes:127	mean 100 episode reward:21.6    	step_used:11	steps:2761	
episode_Q_value:24.4    	episode_loss:0.32603702	episode_reward:14      	episodes:128	mean 100 episode reward:21.3    	step_used:14	steps:2775	
episode_Q_value:63.7    	episode_loss:0.71394277	episode_reward:37      	episodes:129	mean 100 episode reward:20.9    	step_used:37	steps:2812	
episode_Q_value:17.3    	episode_loss:0.18636602	episode_reward:10      	episodes:130	mean 100 episode reward:21      	step_used:10	steps:2822	
episode_Q_value:43.2    	episode_loss:0.5540864	episode_reward:25      	episodes:131	mean 100 episode reward:21      	step_used:25	steps:2847	
episode_Q_value:44.8    	episode_loss:0.5051353	episode_reward:26      	episodes:132	mean 100 episode reward:21.1    	step_used:26	steps:2873	
episode_Q_value:27.9    	episode_loss:0.36937863	episode_reward:16      	episodes:133	mean 100 episode reward:21.2    	step_used:16	steps:2889	
episode_Q_value:20.7    	episode_loss:0.24514033	episode_reward:12      	episodes:134	mean 100 episode reward:21.2    	step_used:12	steps:2901	
episode_Q_value:90.3    	episode_loss:1.1129481	episode_reward:52      	episodes:135	mean 100 episode reward:21.2    	step_used:52	steps:2953	
episode_Q_value:33.5    	episode_loss:0.4116658	episode_reward:19      	episodes:136	mean 100 episode reward:21.3    	step_used:19	steps:2972	
episode_Q_value:24.3    	episode_loss:0.3188872	episode_reward:14      	episodes:137	mean 100 episode reward:21.4    	step_used:14	steps:2986	
episode_Q_value:20.6    	episode_loss:0.25552303	episode_reward:12      	episodes:138	mean 100 episode reward:21.4    	step_used:12	steps:2998	
episode_Q_value:17.3    	episode_loss:2.1540534	episode_reward:10      	episodes:139	mean 100 episode reward:21.2    	step_used:10	steps:3008	
episode_Q_value:30.3    	episode_loss:2.021979	episode_reward:15      	episodes:140	mean 100 episode reward:21      	step_used:15	steps:3023	
episode_Q_value:66.2    	episode_loss:1.955485	episode_reward:27      	episodes:141	mean 100 episode reward:21      	step_used:27	steps:3050	
episode_Q_value:40.7    	episode_loss:1.0244375	episode_reward:17      	episodes:142	mean 100 episode reward:21.1    	step_used:17	steps:3067	
episode_Q_value:38.3    	episode_loss:0.8991056	episode_reward:16      	episodes:143	mean 100 episode reward:21      	step_used:16	steps:3083	
episode_Q_value:30.8    	episode_loss:0.71674734	episode_reward:13      	episodes:144	mean 100 episode reward:21      	step_used:13	steps:3096	
episode_Q_value:21.9    	episode_loss:0.50938714	episode_reward:9       	episodes:145	mean 100 episode reward:21      	step_used:9	steps:3105	
episode_Q_value:64.8    	episode_loss:1.5555832	episode_reward:27      	episodes:146	mean 100 episode reward:21      	step_used:27	steps:3132	
episode_Q_value:45.9    	episode_loss:1.1260793	episode_reward:19      	episodes:147	mean 100 episode reward:21.1    	step_used:19	steps:3151	
episode_Q_value:33.9    	episode_loss:0.8175798	episode_reward:14      	episodes:148	mean 100 episode reward:21.2    	step_used:14	steps:3165	
episode_Q_value:35.8    	episode_loss:0.82796556	episode_reward:15      	episodes:149	mean 100 episode reward:21.1    	step_used:15	steps:3180	
episode_Q_value:24.2    	episode_loss:0.66694397	episode_reward:10      	episodes:150	mean 100 episode reward:21.1    	step_used:10	steps:3190	
episode_Q_value:35.7    	episode_loss:1.0416969	episode_reward:15      	episodes:151	mean 100 episode reward:21      	step_used:15	steps:3205	
episode_Q_value:40.9    	episode_loss:0.9112386	episode_reward:17      	episodes:152	mean 100 episode reward:20.9    	step_used:17	steps:3222	
episode_Q_value:31.3    	episode_loss:0.85654277	episode_reward:13      	episodes:153	mean 100 episode reward:20.8    	step_used:13	steps:3235	
episode_Q_value:65.6    	episode_loss:1.5114082	episode_reward:27      	episodes:154	mean 100 episode reward:20.6    	step_used:27	steps:3262	
episode_Q_value:55.9    	episode_loss:1.3826746	episode_reward:23      	episodes:155	mean 100 episode reward:20.7    	step_used:23	steps:3285	
episode_Q_value:43      	episode_loss:1.0371594	episode_reward:18      	episodes:156	mean 100 episode reward:20.8    	step_used:18	steps:3303	
episode_Q_value:52.2    	episode_loss:1.4652691	episode_reward:22      	episodes:157	mean 100 episode reward:20.8    	step_used:22	steps:3325	
episode_Q_value:55.1    	episode_loss:1.4536717	episode_reward:23      	episodes:158	mean 100 episode reward:20.9    	step_used:23	steps:3348	
episode_Q_value:44.1    	episode_loss:1.0346898	episode_reward:18      	episodes:159	mean 100 episode reward:21      	step_used:18	steps:3366	
episode_Q_value:46.1    	episode_loss:0.9851858	episode_reward:19      	episodes:160	mean 100 episode reward:20.6    	step_used:19	steps:3385	
episode_Q_value:154     	episode_loss:3.898369	episode_reward:65      	episodes:161	mean 100 episode reward:20.6    	step_used:65	steps:3450	
episode_Q_value:134     	episode_loss:3.478082	episode_reward:55      	episodes:162	mean 100 episode reward:20.6    	step_used:55	steps:3505	
episode_Q_value:67.1    	episode_loss:1.5950942	episode_reward:28      	episodes:163	mean 100 episode reward:21.1    	step_used:28	steps:3533	
episode_Q_value:55.4    	episode_loss:1.1698014	episode_reward:23      	episodes:164	mean 100 episode reward:21.1    	step_used:23	steps:3556	
episode_Q_value:78.7    	episode_loss:1.7135024	episode_reward:32      	episodes:165	mean 100 episode reward:21.1    	step_used:32	steps:3588	
episode_Q_value:30.8    	episode_loss:0.7794473	episode_reward:13      	episodes:166	mean 100 episode reward:21.3    	step_used:13	steps:3601	
episode_Q_value:71.1    	episode_loss:1.7901821	episode_reward:30      	episodes:167	mean 100 episode reward:21.2    	step_used:30	steps:3631	
episode_Q_value:50.3    	episode_loss:1.1879296	episode_reward:21      	episodes:168	mean 100 episode reward:21.4    	step_used:21	steps:3652	
episode_Q_value:69.7    	episode_loss:1.6322807	episode_reward:29      	episodes:169	mean 100 episode reward:21.5    	step_used:29	steps:3681	
episode_Q_value:38.2    	episode_loss:0.89510447	episode_reward:16      	episodes:170	mean 100 episode reward:21.5    	step_used:16	steps:3697	
episode_Q_value:50.4    	episode_loss:1.2954198	episode_reward:21      	episodes:171	mean 100 episode reward:21.5    	step_used:21	steps:3718	
