Logging to savedate/CartPole-v0dqn20010714/
episode_Q_value:20      	episode_loss:0.0508  	episode_reward:22      	episodes:92	mean 100 episode reward:21.5    	step_used:22	steps:1980	
episode_Q_value:12.7    	episode_loss:0.0315  	episode_reward:14      	episodes:93	mean 100 episode reward:21.5    	step_used:14	steps:1994	
episode_Q_value:14.1    	episode_loss:2.75    	episode_reward:14      	episodes:94	mean 100 episode reward:21.4    	step_used:14	steps:2008	
episode_Q_value:30.3    	episode_loss:0.834   	episode_reward:16      	episodes:95	mean 100 episode reward:21.4    	step_used:16	steps:2024	
episode_Q_value:63.5    	episode_loss:0.655   	episode_reward:34      	episodes:96	mean 100 episode reward:21.3    	step_used:34	steps:2058	
episode_Q_value:22      	episode_loss:0.234   	episode_reward:12      	episodes:97	mean 100 episode reward:21.4    	step_used:12	steps:2070	
episode_Q_value:46.9    	episode_loss:0.434   	episode_reward:25      	episodes:98	mean 100 episode reward:21.3    	step_used:25	steps:2095	
episode_Q_value:20.5    	episode_loss:0.191   	episode_reward:11      	episodes:99	mean 100 episode reward:21.4    	step_used:11	steps:2106	
episode_Q_value:75.8    	episode_loss:0.552   	episode_reward:40      	episodes:100	mean 100 episode reward:21.3    	step_used:40	steps:2146	
episode_Q_value:39.5    	episode_loss:0.394   	episode_reward:21      	episodes:101	mean 100 episode reward:21.5    	step_used:21	steps:2167	
episode_Q_value:62.2    	episode_loss:0.433   	episode_reward:33      	episodes:102	mean 100 episode reward:21.6    	step_used:33	steps:2200	
episode_Q_value:70.7    	episode_loss:0.419   	episode_reward:37      	episodes:103	mean 100 episode reward:21.5    	step_used:37	steps:2237	
episode_Q_value:21.6    	episode_loss:0.172   	episode_reward:12      	episodes:104	mean 100 episode reward:21.8    	step_used:12	steps:2249	
episode_Q_value:41.8    	episode_loss:0.331   	episode_reward:22      	episodes:105	mean 100 episode reward:21.8    	step_used:22	steps:2271	
episode_Q_value:110     	episode_loss:0.879   	episode_reward:58      	episodes:106	mean 100 episode reward:21.6    	step_used:58	steps:2329	
episode_Q_value:28.1    	episode_loss:0.199   	episode_reward:15      	episodes:107	mean 100 episode reward:21.9    	step_used:15	steps:2344	
episode_Q_value:25.5    	episode_loss:0.16    	episode_reward:14      	episodes:108	mean 100 episode reward:21.9    	step_used:14	steps:2358	
episode_Q_value:20.2    	episode_loss:0.143   	episode_reward:11      	episodes:109	mean 100 episode reward:21.8    	step_used:11	steps:2369	
episode_Q_value:46.6    	episode_loss:0.368   	episode_reward:25      	episodes:110	mean 100 episode reward:21.5    	step_used:25	steps:2394	
episode_Q_value:39      	episode_loss:0.241   	episode_reward:21      	episodes:111	mean 100 episode reward:21.6    	step_used:21	steps:2415	
episode_Q_value:29      	episode_loss:0.228   	episode_reward:16      	episodes:112	mean 100 episode reward:21.8    	step_used:16	steps:2431	
episode_Q_value:38.5    	episode_loss:0.328   	episode_reward:20      	episodes:113	mean 100 episode reward:21.8    	step_used:20	steps:2451	
episode_Q_value:62      	episode_loss:0.573   	episode_reward:33      	episodes:114	mean 100 episode reward:21.8    	step_used:33	steps:2484	
episode_Q_value:76.5    	episode_loss:0.558   	episode_reward:40      	episodes:115	mean 100 episode reward:21.8    	step_used:40	steps:2524	
episode_Q_value:27.4    	episode_loss:0.231   	episode_reward:15      	episodes:116	mean 100 episode reward:22.1    	step_used:15	steps:2539	
episode_Q_value:60.8    	episode_loss:0.472   	episode_reward:32      	episodes:117	mean 100 episode reward:22      	step_used:32	steps:2571	
episode_Q_value:75.4    	episode_loss:0.647   	episode_reward:40      	episodes:118	mean 100 episode reward:22.1    	step_used:40	steps:2611	
episode_Q_value:104     	episode_loss:0.687   	episode_reward:54      	episodes:119	mean 100 episode reward:22.3    	step_used:54	steps:2665	
episode_Q_value:39.5    	episode_loss:0.221   	episode_reward:21      	episodes:120	mean 100 episode reward:22.5    	step_used:21	steps:2686	
episode_Q_value:45.3    	episode_loss:0.28    	episode_reward:24      	episodes:121	mean 100 episode reward:22.6    	step_used:24	steps:2710	
episode_Q_value:35.7    	episode_loss:0.312   	episode_reward:19      	episodes:122	mean 100 episode reward:22.7    	step_used:19	steps:2729	
episode_Q_value:20.2    	episode_loss:0.102   	episode_reward:11      	episodes:123	mean 100 episode reward:22.7    	step_used:11	steps:2740	
episode_Q_value:22.5    	episode_loss:0.141   	episode_reward:12      	episodes:124	mean 100 episode reward:22.7    	step_used:12	steps:2752	
episode_Q_value:32.2    	episode_loss:0.223   	episode_reward:17      	episodes:125	mean 100 episode reward:22.6    	step_used:17	steps:2769	
episode_Q_value:82.3    	episode_loss:0.662   	episode_reward:43      	episodes:126	mean 100 episode reward:22.6    	step_used:43	steps:2812	
episode_Q_value:86.1    	episode_loss:0.532   	episode_reward:45      	episodes:127	mean 100 episode reward:21.9    	step_used:45	steps:2857	
episode_Q_value:21.5    	episode_loss:0.194   	episode_reward:12      	episodes:128	mean 100 episode reward:22.2    	step_used:12	steps:2869	
episode_Q_value:45.3    	episode_loss:0.361   	episode_reward:24      	episodes:129	mean 100 episode reward:22.1    	step_used:24	steps:2893	
episode_Q_value:23.8    	episode_loss:0.112   	episode_reward:13      	episodes:130	mean 100 episode reward:22.3    	step_used:13	steps:2906	
episode_Q_value:59.2    	episode_loss:0.5     	episode_reward:32      	episodes:131	mean 100 episode reward:22.2    	step_used:32	steps:2938	
episode_Q_value:29.2    	episode_loss:0.19    	episode_reward:16      	episodes:132	mean 100 episode reward:22.3    	step_used:16	steps:2954	
