Logging to savedate/CartPole-v0dqn2001071457/
episode_Q_value:40.6    	episode_loss:1.39    	episode_reward:25      	episodes:82	mean 100 episode reward:25      	step_used:25	steps:2052	
episode_Q_value:43.8    	episode_loss:0.333   	episode_reward:23      	episodes:83	mean 100 episode reward:25      	step_used:23	steps:2075	
episode_Q_value:59.7    	episode_loss:0.386   	episode_reward:31      	episodes:84	mean 100 episode reward:25      	step_used:31	steps:2106	
episode_Q_value:31.7    	episode_loss:0.209   	episode_reward:17      	episodes:85	mean 100 episode reward:25.1    	step_used:17	steps:2123	
episode_Q_value:24.1    	episode_loss:0.156   	episode_reward:14      	episodes:86	mean 100 episode reward:25      	step_used:14	steps:2137	
episode_Q_value:58.9    	episode_loss:0.401   	episode_reward:31      	episodes:87	mean 100 episode reward:24.8    	step_used:31	steps:2168	
episode_Q_value:41.6    	episode_loss:0.184   	episode_reward:22      	episodes:88	mean 100 episode reward:24.9    	step_used:22	steps:2190	
episode_Q_value:41.9    	episode_loss:0.382   	episode_reward:23      	episodes:89	mean 100 episode reward:24.9    	step_used:23	steps:2213	
episode_Q_value:28.2    	episode_loss:0.17    	episode_reward:15      	episodes:90	mean 100 episode reward:24.9    	step_used:15	steps:2228	
episode_Q_value:59.2    	episode_loss:0.376   	episode_reward:31      	episodes:91	mean 100 episode reward:24.8    	step_used:31	steps:2259	
episode_Q_value:36.6    	episode_loss:0.197   	episode_reward:20      	episodes:92	mean 100 episode reward:24.8    	step_used:20	steps:2279	
episode_Q_value:21.2    	episode_loss:0.107   	episode_reward:12      	episodes:93	mean 100 episode reward:24.8    	step_used:12	steps:2291	
episode_Q_value:77.3    	episode_loss:0.434   	episode_reward:41      	episodes:94	mean 100 episode reward:24.6    	step_used:41	steps:2332	
episode_Q_value:35.7    	episode_loss:0.178   	episode_reward:19      	episodes:95	mean 100 episode reward:24.8    	step_used:19	steps:2351	
episode_Q_value:35.6    	episode_loss:0.182   	episode_reward:19      	episodes:96	mean 100 episode reward:24.7    	step_used:19	steps:2370	
episode_Q_value:37.3    	episode_loss:0.228   	episode_reward:20      	episodes:97	mean 100 episode reward:24.7    	step_used:20	steps:2390	
episode_Q_value:79.5    	episode_loss:0.471   	episode_reward:42      	episodes:98	mean 100 episode reward:24.6    	step_used:42	steps:2432	
episode_Q_value:41.6    	episode_loss:0.259   	episode_reward:22      	episodes:99	mean 100 episode reward:24.8    	step_used:22	steps:2454	
episode_Q_value:30      	episode_loss:0.224   	episode_reward:16      	episodes:100	mean 100 episode reward:24.8    	step_used:16	steps:2470	
episode_Q_value:19      	episode_loss:0.13    	episode_reward:11      	episodes:101	mean 100 episode reward:24.7    	step_used:11	steps:2481	
episode_Q_value:35.5    	episode_loss:0.285   	episode_reward:19      	episodes:102	mean 100 episode reward:24.7    	step_used:19	steps:2500	
episode_Q_value:23.9    	episode_loss:0.13    	episode_reward:13      	episodes:103	mean 100 episode reward:24.8    	step_used:13	steps:2513	
episode_Q_value:59.2    	episode_loss:0.335   	episode_reward:31      	episodes:104	mean 100 episode reward:24.6    	step_used:31	steps:2544	
episode_Q_value:50      	episode_loss:0.352   	episode_reward:27      	episodes:105	mean 100 episode reward:24.7    	step_used:27	steps:2571	
episode_Q_value:100     	episode_loss:0.629   	episode_reward:53      	episodes:106	mean 100 episode reward:24.8    	step_used:53	steps:2624	
episode_Q_value:25.9    	episode_loss:0.105   	episode_reward:14      	episodes:107	mean 100 episode reward:25.2    	step_used:14	steps:2638	
episode_Q_value:58.9    	episode_loss:0.429   	episode_reward:31      	episodes:108	mean 100 episode reward:25.1    	step_used:31	steps:2669	
episode_Q_value:23.9    	episode_loss:0.149   	episode_reward:13      	episodes:109	mean 100 episode reward:25      	step_used:13	steps:2682	
episode_Q_value:54.2    	episode_loss:0.35    	episode_reward:30      	episodes:110	mean 100 episode reward:25      	step_used:30	steps:2712	
episode_Q_value:52.9    	episode_loss:0.296   	episode_reward:28      	episodes:111	mean 100 episode reward:25.1    	step_used:28	steps:2740	
episode_Q_value:77.8    	episode_loss:0.519   	episode_reward:43      	episodes:112	mean 100 episode reward:25.1    	step_used:43	steps:2783	
episode_Q_value:41.2    	episode_loss:0.205   	episode_reward:22      	episodes:113	mean 100 episode reward:24.7    	step_used:22	steps:2805	
episode_Q_value:21.9    	episode_loss:0.184   	episode_reward:12      	episodes:114	mean 100 episode reward:24.7    	step_used:12	steps:2817	
episode_Q_value:35.5    	episode_loss:0.222   	episode_reward:19      	episodes:115	mean 100 episode reward:24.5    	step_used:19	steps:2836	
episode_Q_value:30      	episode_loss:0.191   	episode_reward:16      	episodes:116	mean 100 episode reward:24.6    	step_used:16	steps:2852	
episode_Q_value:35.7    	episode_loss:0.201   	episode_reward:19      	episodes:117	mean 100 episode reward:24.2    	step_used:19	steps:2871	
episode_Q_value:29.1    	episode_loss:0.122   	episode_reward:16      	episodes:118	mean 100 episode reward:24.2    	step_used:16	steps:2887	
episode_Q_value:64.9    	episode_loss:0.305   	episode_reward:34      	episodes:119	mean 100 episode reward:23.9    	step_used:34	steps:2921	
episode_Q_value:39.4    	episode_loss:0.249   	episode_reward:21      	episodes:120	mean 100 episode reward:23.9    	step_used:21	steps:2942	
episode_Q_value:29.6    	episode_loss:0.155   	episode_reward:16      	episodes:121	mean 100 episode reward:23.3    	step_used:16	steps:2958	
episode_Q_value:29.8    	episode_loss:0.205   	episode_reward:16      	episodes:122	mean 100 episode reward:23      	step_used:16	steps:2974	
